Cle,Zone,region_fr,province_fr,cercle_fr,commune_fr,nom_fr,nom_ar,type_localite,caractere_zone,milieu,population,menage,total_menages_sd,Longitude,Latitude
Ighil - Alousse,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Alousse,ألوس,douar,,rural,145,35,,-8.33262,30.98998
Ighil - Argue,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Argue,أرك,douar,,rural,356,67,,-8.4076,30.9905
Ighil - Asloune,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Asloune,أسلون,douar,,rural,238,38,,-8.349771,30.992805
Ighil - Tachakchoute,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tachakchoute,تشاكوشت,douar,,rural,200,52,,-8.35859,31.01412
Ighil - Tadafalte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tadafalte,تدافالت,douar,,rural,238,36,,-8.32065,30.97894
Ighil - Tamsoulte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tamsoulte,تمسولت,douar,,rural,101,20,,-8.37077,31.00314
Ighil - Tamzmamane,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tamzmamane,تمزممان,douar,,rural,263,39,,-8.376181,30.983905
Ighil - Tanfguikhte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tanfguikhte,تنفكيخت,douar,,rural,356,71,,-8.38222,30.9945
Ighil - Tawrirte Al Oulia,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tawrirte Al Oulia,تاوريرت العليا,douar,,rural,244,36,,-8.36259,30.99373
Ighil - Tazgzaoute,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tazgzaoute,تزكزاوت,douar,,rural,157,25,,-8.377033,30.990465
Ighil - Tigrte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tigrte,تكرت,douar,,rural,136,22,,-9.8515107,30.6258806
Ighil - Timslah,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Timslah,تمصلاح,douar,,rural,307,56,5,-8.341305,31.000339
Ighil - Ghssate,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Ghssate,غسات,sous-douar,,rural,40,5,0,,
Ighil - Tirkhte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Tirkhte,تيرخت,douar,,rural,246,34,,-8.35727,30.98984
Ighil - Ouawdid,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Ouawdid,واوضيض,douar,,rural,286,36,,-8.39721,30.98576
Ighil - Ibouhssa,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Ibouhssa,إبوحسا,douar,,rural,42,7,,-8.359715,30.993627
Talat N'Yaaqoub - Oukone,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Oukone,أوكون,douar,,rural,251,70,,-8.323275,30.923481
Talat N'Yaaqoub - Tifni,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Tifni,تيفني,douar,,rural,606,129,75,-8.353045,30.944434
Talat N'Yaaqoub - Tigrar,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Tigrar,تيكرار,sous-douar,,rural,98,21,0,-8.356413,30.945009
Talat N'Yaaqoub - Toudma,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Toudma,تودما,sous-douar,,rural,32,7,0,-8.339897,30.930578
Talat N'Yaaqoub - Asgoune Bella,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Asgoune Bella,أسكون بلا,sous-douar,,rural,42,9,0,-8.346138,30.936089
Talat N'Yaaqoub - Igriya,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Igriya,إكريا,sous-douar,,rural,75,16,0,-8.351696,30.943076
Talat N'Yaaqoub - Imi Tifni,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Imi Tifni,إمين تفني,sous-douar,,rural,18,4,0,-8.335146,30.92428
Talat N'Yaaqoub - Tighirt Noumechmoud,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Talat N'Yaaqoub,Tighirt Noumechmoud,تغيرت نومشمود,sous-douar,,rural,85,18,0,-8.353438,30.943345
Imindounit - Amslouh,0 - 10km_zone d'impact direct,Marrakech-Safi,Chichaoua,Majjat,Imindounit,Amslouh,آمصلوح,douar,,rural,299,51,,-8.47637,30.99211
Imindounit - Anssa,0 - 10km_zone d'impact direct,Marrakech-Safi,Chichaoua,Majjat,Imindounit,Anssa,انسا,douar,,rural,981,200,,-8.49272,30.98976
Imindounit - Azerzou,0 - 10km_zone d'impact direct,Marrakech-Safi,Chichaoua,Majjat,Imindounit,Azerzou,ازرزو,douar,,rural,1054,190,,-8.475314,31.00639
Imindounit - Tamsoult,0 - 10km_zone d'impact direct,Marrakech-Safi,Chichaoua,Majjat,Imindounit,Tamsoult,تمسولت,douar,,rural,840,110,,-8.48826,31.02006
Imindounit - Taddart,0 - 10km_zone d'impact direct,Marrakech-Safi,Chichaoua,Majjat,Imindounit,Taddart,تدارت,douar,,rural,333,70,,-8.469572,31.00999
Amghras - Sidi Hseine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Amghras,Sidi Hseine,سيدي احساين,douar,,rural,159,40,,-8.234566,31.196337
Anougal - Adrdore,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Adrdore,أضرضور,douar,,rural,122,27,,,
Anougal - Adouz,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Adouz,أدوز,douar,,rural,250,45,,-8.26593,31.12609
Anougal - Ait Hamed,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Ait Hamed,أيت حامد,douar,,rural,261,47,,-8.245065,31.171683
Anougal - Ait Ouzakri,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Ait Ouzakri,أيت أزكري,douar,,rural,133,28,,-8.247618,31.184583
Anougal - Assoul,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Assoul,أسول,douar,,rural,100,18,,-8.270882,31.091036
Anougal - Inghed,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Inghed,إينغد,douar,,rural,195,35,,,
Anougal - Dou Anamar,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Dou Anamar,دو أنمر,douar,,rural,145,26,,-8.25678,31.14266
Anougal - Aguerdane,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Aguerdane,أكرضان,douar,,rural,121,24,,-9.5796925,31.2271315
Anougal - Imi Isli,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Imi Isli,إمي إسلي,douar,,rural,300,54,,-8.2631,31.14852
Anougal - Imi N'Tala,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Imi N'Tala,إمين تلا,douar,,rural,373,67,,-8.2667679,31.1290673
Anougal - Imi Ourmer,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Imi Ourmer,إمي أورمر,douar,,rural,180,34,8,-8.265742,31.0939292
Anougal - Ait Merzouk,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Ait Merzouk,أيت مرزوك,sous-douar,,rural,50,8,0,-8.26158,31.10193
Anougal - Imzaine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Imzaine,إمزاين,douar,,rural,334,60,,-8.26083,31.13188
Anougal - Infague,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Infague,إنفاك,douar,,rural,128,23,,-8.25809,31.14683
Anougal - Kettou,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Kettou,كطو,douar,,rural,214,34,,-8.27438,31.08508
Anougal - Ourmer,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Ourmer,أورمر,douar,,rural,317,57,14,-8.25224,31.08657
Anougal - Sinkte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Sinkte,سانكت,sous-douar,,rural,80,14,0,-8.2546,31.087261
Anougal - Slamte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Slamte,سلامت,douar,,rural,124,24,,-8.25357,31.17399
Anougal - Talat N'Wargue,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Talat N'Wargue,تلات أنوارك,douar,,rural,128,24,,-8.26403,31.10201
Anougal - Tamaloute,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Tamaloute,تملوت,douar,,rural,120,18,,-8.27398,31.07871
Anougal - Tilfitine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Tilfitine,تلفتين,douar,,rural,89,16,,-8.27688,31.11768
Anougal - Tinzarouine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Tinzarouine,تنزروين,douar,,rural,161,16,,-8.277391,31.079865
Anougal - Tizgui,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Tizgui,تزكي,douar,,rural,217,39,,,
Anougal - Tizi Oussoul,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Tizi Oussoul,تزي أسول,douar,,rural,125,16,,-8.27168,31.08632
Anougal - Toug El Kheir,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Toug El Kheir,توك الخير,douar,,rural,140,24,,-8.25617,31.16326
Anougal - Tizgua,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Anougal,Tizgua,تيزكة,douar,,rural,211,38,,,
Azgour - Adghousse,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Adghousse,أدغوس,douar,,rural,235,60,,-8.320313,31.184305
Azgour - Ait Daoud,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Ait Daoud,أيت داود,douar,,rural,563,76,,-8.37781,31.10592
Azgour - Ait Ihla,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Ait Ihla,أيت إحلا,douar,,rural,284,61,15,-8.36082,31.110115
Azgour - Tassila,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Tassila,تسيلا,sous-douar,,rural,60,15,0,-8.359601,31.111779
Azgour - Ait Othmane,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Ait Othmane,أيت عثمان,douar,,rural,420,84,20,-8.392891,31.154682
Azgour - Toukhou,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Toukhou,توخو,sous-douar,,rural,35,20,0,-8.392037,31.158077
Azgour - Amzri,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Amzri,أمزري,douar,,rural,56,9,,-8.35874,31.138861
Azgour - Anamro,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Anamro,أنمرو,douar,,rural,405,77,,-8.348455,31.09735
Azgour - Anfrioune,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Anfrioune,أنفريون,douar,,rural,218,50,4,-8.36988,31.186781
Azgour - Izilalene,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Izilalene,إزيلالن,sous-douar,,rural,18,4,0,-8.383559,31.182254
Azgour - Tnirte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Tnirte,تنيرت,douar,,rural,1020,274,,-8.318199,31.105481
Azgour - Azgour Centre,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Azgour Centre,أزكور المركز,douar,,rural,62,14,,-8.308274,31.145976
Azgour - Douozro,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Douozro,الدوزرو,douar,,rural,592,117,,-8.385564,31.161214
Azgour - Lamdinate,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Lamdinate,لمدينات,douar,,rural,717,169,,-8.370016,31.107078
Azgour - Tadardourte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Tadardourte,تضرضورت,douar,,rural,120,24,,-8.406744,31.160159
Azgour - Tagadirte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Tagadirte,تكاديرت,douar,,rural,160,16,,-8.397152,31.183276
Azgour - Talat,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Talat,تلات,douar,,rural,179,37,,-8.358996,31.107744
Azgour - Talazguaghte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Talazguaghte,تلازكاغت,douar,,rural,105,30,,-8.322107,31.17119
Azgour - Talbourine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Talbourine,تالبورين,douar,,rural,98,18,,-8.380518,31.10117
Azgour - Tifirte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Tifirte,تفيرت,douar,,rural,430,84,,-8.405676,31.17639
Azgour - Tizgui,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Tizgui,تزكي,douar,,rural,180,46,,-8.304551,31.166736
Azgour - Toulkine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Toulkine,تولكين,douar,,rural,710,183,,-8.329983,31.16183
Azgour - Anerni,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Anerni,أنرني,douar,,rural,372,70,,-8.316571,31.11755
Azgour - Azgour,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Azgour,Azgour,أزكور,douar,,rural,484,124,,-8.312804,31.138178
Dar Jamaa - Addar N'Ait Ali,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Addar N'Ait Ali,أدار نايت علي,douar,,rural,87,17,1,-8.3817642,31.2481114
Dar Jamaa - Imi Ouaddar,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Imi Ouaddar,إمي ودار,sous-douar,,rural,4,1,0,-8.399297,31.241458
Dar Jamaa - Addar Baragha,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Addar Baragha,أدار براغة,douar,,rural,92,31,,-8.377311599999999,31.2494676
Dar Jamaa - Agadir Baragha,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Agadir Baragha,اكادير براغة,douar,,rural,275,60,9,-8.340259,31.23488
Dar Jamaa - Lkchrid Baragha,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Lkchrid Baragha,الكشريد براغة,sous-douar,,rural,32,9,0,-8.345468,31.240971
Dar Jamaa - Agadir N'Ait Brahim,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Agadir N'Ait Brahim,أكادير نايت براهيم,douar,,rural,244,48,,-9.5981072,30.4277547
Dar Jamaa - Agadir N'Ait Bourd,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Agadir N'Ait Bourd,أكادير نايت بورد,douar,,rural,32,10,,-9.5981072,30.4277547
Dar Jamaa - Ait Bourd,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Ait Bourd,أيت بورد,douar,,rural,723,142,7,-8.367949,31.222225
Dar Jamaa - Agummid,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Agummid,أكميض,sous-douar,,rural,7,4,0,-8.362994,31.215266
Dar Jamaa - Aflla Ouassif,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Aflla Ouassif,أفلا واسيف,sous-douar,,rural,7,3,0,-8.366716,31.216818
Dar Jamaa - Ait Smil,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Ait Smil,أيت سميل,douar,,rural,718,153,58,-8.348735,31.231551
Dar Jamaa - Lamzeref,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Lamzeref,المزرف,sous-douar,,rural,57,14,0,-8.355326,31.249696
Dar Jamaa - Lkchrid Ait Smil,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Lkchrid Ait Smil,الكشريد أيت اسميل,sous-douar,,rural,101,23,0,-8.350267,31.242534
Dar Jamaa - Boussgayer,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Boussgayer,بوسكاير,sous-douar,,rural,41,10,0,-8.351814,31.224791
Dar Jamaa - Tidarine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tidarine,تضارين,sous-douar,,rural,44,11,0,-8.354167,31.236276
Dar Jamaa - Algoud,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Algoud,ألكوض,douar,,rural,61,12,,-8.3852,31.22408
Dar Jamaa - Boukhalef,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Boukhalef,بوخالف,douar,,rural,244,48,19,-8.387305,31.238735
Dar Jamaa - Tamklfine,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tamklfine,تمكلفين,sous-douar,,rural,57,19,0,-8.388937,31.239564
Dar Jamaa - Dar Jamaa,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Dar Jamaa,دار الجامع,douar,,rural,366,72,,-8.381382,31.247326
Dar Jamaa - Imiki,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Imiki,إمكي,douar,,rural,193,38,,-8.392683,31.254872
Dar Jamaa - Isgoufa,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Isgoufa,إسكوفة,douar,,rural,260,46,,-8.340078,31.247593
Dar Jamaa - Iwraghene,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Iwraghene,إوراغن,douar,,rural,107,21,,-8.377311599999999,31.2494676
Dar Jamaa - Tadcherte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tadcherte,تدشرت,douar,,rural,153,54,9,-8.33393,31.230931
Dar Jamaa - Tamsoulte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tamsoulte,تامسولت,sous-douar,,rural,20,9,0,-8.337719,31.232177
Dar Jamaa - Tirkhaste,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tirkhaste,ترخصت,douar,,rural,153,30,8,-8.393427,31.221899
Dar Jamaa - Tafghid,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tafghid,تفغيد,sous-douar,,rural,12,3,0,-8.395594,31.219683
Dar Jamaa - Tarmoud,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tarmoud,ترمود,sous-douar,,rural,15,5,0,-8.394595,31.217507
Dar Jamaa - Toughza,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Toughza,توغزة,douar,,rural,61,13,,-8.342841,31.243598
Dar Jamaa - Agadir Ichoulidene,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Agadir Ichoulidene,أكادير إشوليضن,douar,,rural,153,30,,-9.5981072,30.4277547
Dar Jamaa - Agadir N'tafoukte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Agadir N'tafoukte,أكادير نتافوكت,douar,,rural,121,26,,-9.5981072,30.4277547
Dar Jamaa - Lfite N'Ait Alla,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Lfite N'Ait Alla,الفيط نايت علا,douar,,rural,107,21,,-8.377311599999999,31.2494676
Dar Jamaa - Ait Mbarek,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Ait Mbarek,أيت امبارك,douar,,rural,50,19,,-8.367883,31.233303
Dar Jamaa - Tamsoukte,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Dar Jamaa,Tamsoukte,تامسوقت,douar,,rural,120,30,,-8.367409,31.247714
Tizguine - Agadir Jdid,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Tizguine,Agadir Jdid,أكادير الجديد,douar,,rural,38,8,,-8.30755,31.2284
Tizguine - Aguioune,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Tizguine,Aguioune,أكيون,douar,,rural,105,22,,-8.313821,31.229133
Tizguine - Ait Barghous,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Tizguine,Ait Barghous,أيت برغوس,douar,,rural,50,15,,-8.311409,31.235868
Tizguine - Ait Bou Haddou,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Tizguine,Ait Bou Haddou,أيت بوحدو,douar,,rural,62,22,,-8.309932,31.233649
Tizguine - Ait Matat,10-30Km zone a risque tres eleve,Marrakech-Safi,Al Haouz,Amizmiz,Tizguine,Ait Matat,أيت مطاط,douar,,rural,108,27,,-8.296149,31.224764
